HOTEL_name,CITY_name,COUNTRY_name,PRICE_range,HOTEL_rating,amneties,HOTEL_address,HOTEL_review
Hotel Himalayan Stay,Manali,India,,2.9/5,"Laundry Service,Conference Room,Outdoor Activities,Room Service,","kanyal road simsa village, Manali - 175131 View on Map",pathetic rooms never go there ........don't waste your money to book this hotel
Hotel Triund,Dharamshala,India,,3.2/5,"Doctor On Call,Free Internet,Laundry Service,Spa,","Bhagsunag,mcleodganj, Dharmsala - 176219 View on Map",good location
HOTEL R D INTERNATIONAL,Port Blair,India,,3.4/5,"Air Conditioning,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","hotel r d international , junglighat , Port Blair , south andaman - 744103 View on Map","service is very excellent , staff behaviour out of 100= 100 , very good experience"
Kamat's Hotel Lalbagh,Bengaluru,India,,3.8/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","R.V. Road, Opposite to Lalbagh West Gate, V.V.Puram , Bangalore-560004, Bengaluru View on Map",nice hotel and good service
Hotel Siesta de goa,Goa,India,,4.1/5,"Air Conditioning,Parking Facility,Laundry Service,Power backup,","Hotel Siesta de Goa 794/C, 2nd Fatrade, Varca, Salcete, South Goa 403721 View on Map","A really enjoyable stay in South Goa. We had a quick check in, pleasant and clean room and bathroom. The breakfast was excellent. Staff were courteous and helpful, but not always quick. It's not very close to the beach, but the decent sized pool made up for it. Overall, a solid recommendation for a stay."
Span Hotel,Calicut,India,,3.7/5,"Free Internet,Conference Room,Laundry Service,Dining,","Jail Rd, Puthiyara, Kozhikode, 673004 View on Map","Non AC standard room which they provided me wasn't clean.
Bed sheets was dirty and stain all over.
Bathroom was very small and not well cleaned.
Staff behaviour was very good and buffet breakfast for rs 95/- was also good.
Overall i experienced a sub standard quality for Non AC rooms."
Hotel Simran Heritage,"Raipur, Chhattisgarh",India,,4.4/5,"Doctor On Call,Air Conditioning,Indoor Entertainment,Conference Room,","Opposite Hotel Simran, Station Road, Raipur492009(C.G.) View on Map","good location near railway stations
rooms are spacious neat and clean
breakfast is good
gives check in on time
provide pic up drop from air port
staff is good"
GREEN LEAF PERIYAR,Thekkady,India,,4.1/5,"Power backup,Laundry Service,CCTV surveillance,Outdoor Activities,","Near Forest,Thamarakandam,Thekkangkadu,Kumily., Thekkady - 685536 View on Map","The stay was good. The room is good but small one. It is a home of an NRI family. The owner stays in Saudi with his family. They dont maintain duplicate back up for room keys, in case if you loose the key then you will have a tough time. They have cctv cameras installed in the hall which is the reception, but I doubt if they are working. We have to look out for food options. There is no facility for food in this homestay. It was just good with regards to budget wise."
Rain Country Resort,Wayanad,India,,4.3/5,"Indoor Entertainment,Conference Room,Outdoor Activities,Banquet hall,","Lakkidi P.O. Vythiri, Wayanad, 673576 View on Map","Amazing place to stay,special thanks mr Dev anand and mr Arun for their services, highly recommended"
Hotel JC Grand,Kodaikanal,India,,3.5/5,"CCTV surveillance,Power backup,Parking Facility,Daily housekeeping,","Woodville Road Opp Bus Stand, Kodaikanal - 62401 View on Map","This was the best hotel I ever stayed in. Large, comfortable bed, nice room. The bathroom was clean, a decent size and had warm water. The view out of the large bedroom window was amazing.
I dunno. Everything I liked in general. Very nice room, bathroom, view..."
Hotel Sindh Resort,Sonamarg,India,,4.1/5,"Conference Room,Outdoor Activities,Dining,CCTV surveillance,","NH-1A, Sonmarg, Kashmir, main road sonmarg gandharba jnk, Sonamarg - 191203 View on Map","very good place to stay, good food, nice ambiance"
Space and Spice,Patna,India,,3.6/5,"Air Conditioning,Room Service,","Asha Enclave, 48 Kabi raman path Nageshwar Colony Behind Uday Naryan Hospital, Patna - 8000001 View on Map",Very nice room. Clean room good staff nice food. Overall good experience thanks goibibo to provide such a nice room
Anantha Heritage Hotel,Pondicherry,India,,4.4/5,"Doctor On Call,Free Internet,Indoor Entertainment,Travel Assistance,","96, Rue Perumal Koil, Pondicherry , India - 605001 View on Map","Good, spacious, clean rooms. Well maintained heritage hotel which reminded me of my grandparents village home. Friendly staff who made our stay comfortable. Location is in the heritage town which is good. Maybe little high tariff considering no amenities and car parking on the road, but safe though. Food is just fine.
Overall a good hotel if you are just looking for a heritage kind of hotel stay and good hospitality from staff."
Capitol Hill,Ranchi,India,,4.4/5,"Free Internet,Air Conditioning,Indoor Entertainment,Conference Room,","Mahatma Gandhi Marg, Main Road, Ranchi - 834001 View on Map","One of the best properties of Ranchi, centrally located, situated in main market, nice ambience, customer friendly staff and services,palataible cusine,amazing breakfast buffet."
Hotel Hilltop International,Port Blair,India,,3.4/5,"Free Internet,Air Conditioning,Outdoor Activities,Laundry Service,","Hotel Hill Top International, J.N. Road, Haddo, Port Blair - 744102 View on Map",It was great staying. Staffs are very helpfull. Very tasty food!! Perfect hotel for family.
Hotel Oasis,Pune,India,,2.2/5,"Air Conditioning,Parking Facility,Laundry Service,CCTV surveillance,","Shajpur Phata,Pune Solapur Highway Dist Daund - 413802 View on Map","The stay was very bad and I was completely frustrated with the place. There was no hygienic, no proper service, not even a comfortable room. I would rate in the minus to this hotel, and I would never recommend to anyone."
The National Residency,Bengaluru,India,,3.1/5,"Laundry Service,CCTV surveillance,Power backup,Room Service,","No. 37/2, Sheshadri Road, Opp. Railway Bhavan, Bengaluru - 560009 View on Map","Worst hotel I ever seen
Poor room service
No clinliness
No hot water facilities for 24 hours
Bed and matreses are also not clean
No proper ventilation"
Kharpalace group of houseboats,Srinagar,India,,3.2/5,"Laundry Service,Free Internet,Room Service,",Ghat no.9 boulveard road dallake Srinagar kashmir - 190001 View on Map,its is the most bad place to stay I have seen in Srinagar. staff is not at all good. they try to fear n earn money from u. they will charge u to take u till house boat every time u go in n out.
HOTEL KOHINOOR SQUARE,Kolhapur,India,,4/529,"Doctor On Call,Air Conditioning,Room Service,Business Services,","Dabholkar Corner, Railway Station Road, Near Central Bus Stand, Kolhapur - 416001 View on Map",really good experience with hotel kohinoor good food ..breakfast is nice ... rooms are big with good service 
Inderlok Hotel,Alwar,India,,4.1/5,"Air Conditioning,Banquet hall,Restaurant/Coffee Shop,Laundry Service,","2, Matsya Industrial Area , Near Riico Office, Alwar-301030 View on Map","it is very nice experience with Hotel Indralok. very very humble, caring and polite service staff . very nice food quality. looks like home."
Lords Garden Glory,,,,3.7/5,"Doctor On Call,Clean linen,Power backup,Clean Room,",23 Industrial Area Shoghi Shimla District ShimlaH.P. - 173219 View on Map,Rooms were clean and staff was cooperative. Food was average but an amazing deal at this price.
Hotel Bengal International,Siliguri,India,,2.7/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","Hill Cart Road, silliguri beside amber residency, Siliguri - 734001 View on Map","It was not good,atleast not worth to the payment.The room is shabby and they have not subscribed the TV channels only the free channels of cable is coming,where as they are charging so high.Even they does not have A.C remote."
Hotel Raj Rajeshwari,Almora,India,,3.1/5,"Doctor On Call,Indoor Entertainment,Room Service,","Heeradungri, NTD, Near SSB RP Gate L R Shah Road NTD Almora- 263601 View on Map","Except the location the hotel is not worth for stay.The staffs are not trained and the hotel has no cleanliness.Leave welcome drink,the hotel does not have packaged drinking water.Mr.Deepak the manager has least courtesy.Foods are horrible.Also the hotel belongs to local goon Mr.Bhist hence one cannot expect great hospitality.Even the hotel do not have proper bills.The toilet are dirty and lacks basic amenities.
Worst experience............."
Regency Kanchipuram by GRT Hotels,Kanchipuram,India,,4.4/5,"Conference Room,Outdoor Activities,Laundry Service,Health-Spa,","487, Gandhi Road, Kanchipuram - 631502 View on Map",Very nice place to stay. Convenient location and comfortable room.
"Grand Hotel, Haridwar",Haridwar,India,,2.9/5,,"Opp. Vishal Megamart, Old Ranipur More, Haridwar - 249407 View on Map",this site is very good sarvice in hotels and very comfortable of this hotel sarvice and
Green Park Haveli,Pushkar,India,,3.9/5,"Doctor On Call,Power backup,Parking Facility,Clean linen,","Vamdev Road , Near Gurudwara, Pushkar - 305022 View on Map","Location is best.Staff are very friendly. Service is good. Clean room. The food here was very good.The view of the restaurant was very good.
Big room ,Which is comfortable for the family. Family restaurant . Friendly staff for family"
Hotel City Heart,Amritsar,India,,4/547,"Free Internet,Parking Facility,Laundry Service,Dining,","Near Golden Temple, Opp. Jallian Wala Bagh, Amritsar - 143001 View on Map","Excellent location; Jalianwala Baug, Golden Temple & Partition Museum within 2-10 minutes walking distance. Room was small but very cozy, clean & comfortable. Service was good and breakfast was OK."
Montreal Group Of Houseboats,Srinagar,India,,4.2/5,"Air Conditioning,Power backup,Business Services,Restaurant/Coffee Shop,","Dal Lake, Ghat, Srinagar - 190001 View on Map","Cordial staff.
Food needs improvement.
Good ambience"
The Bushehar Regency(Govt. Hotel),,,,4.1/5,"Free Internet,Outdoor Activities,Laundry Service,Business Services,","District Shimla,(distance 120 KM from Shimla toward Kinnaur) Rampur Bushehar pin code- 172001, Rampur, Himachal Pradesh View on Map","Good location, very supportive staff and good food also"
HOTEL RAM NIVAS,Port Blair,India,,1.9/5,"Laundry Service,Free Internet,Power backup,Parking Facility,","Aberdeen Bazar, Port Blair - 744101 View on Map",its nice to stay
Payal Resort,Bhilwara,India,,3.5/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,Health-Spa,","Near Saras Dairy, Gaurav Path, Bhilwara - 311001 View on Map",
Mulberry Inn,Mahabaleshwar,India,,4.1/5,"Power backup,Laundry Service,CCTV surveillance,Travel Assistance,","At Post - Metgutad, Panchgani Mahabaleshwaer Road. 6 Km Before From Mahabaleshwar Market. - 412806 View on Map",staff was very good and cooperative. room was clean. good location at Central place. worth for money. 
Hotel Haridarshan,"Udaipur, Rajasthan",India,,3.4/5,"Doctor On Call,Power backup,Parking Facility,Restaurant/Coffee Shop,","37, Lake Palace Road, Inside udaipole, Ganga Gali, Udaipur - 313001 View on Map",nice but few improvement make in hotel the hotel Will be great 👍
Hotel Banaras Haveli,Varanasi,India,,3.8/5,"Free Internet,Laundry Service,Dining,CCTV surveillance,",B1/224 Assi Ghat Varanasi (U.P). 221005 INDIA View on Map,good
Great Escapes Resorts,Munnar,India,,4.3/5,"Indoor Entertainment,Parking Facility,Outdoor Activities,Laundry Service,","GAP Road, Chinnakkanal, Idukki, Munnar, 685618 View on Map","A very cosy place. Good service and staffs. They serve amazing food. Room needed some renovation and improvements. True that the place is away from town. But, worth going. In fact, a great stay and a great escape from the busy schedule."
Swiss Meadows,Khajjiar,India,,2.5/5,"Indoor Entertainment,Room Service,","Chamba Road, Khajjiar - 176314 View on Map","In terms of cost too expensive. If they charge around 2000 then its okay. The room had balcony facing road, which was bad. Try rooms towards valley side. In bathroom hot water was not working. Hotel manager and staff were good. Almost 2 km from the statue of shiva and around 3 km from main khajjiar ground. I wld rate okay kind of hotel."
Sri Saibaba Guest House,Pondicherry,India,,3.3/5,"Doctor On Call,Air Conditioning,Parking Facility,Laundry Service,","244, Jawaharlal Nehru Street Pondicherry - 605001 View on Map","pathetic service, no.drinking water, linens were not clean, receptionist was rude"
Misty Lake Resorts,Munnar,India,,4.2/5,"Doctor On Call,Free Internet,Indoor Entertainment,Parking Facility,","Sengulam,Anachal, Munnar,Idukki Dist - 685612 View on Map",Good hotel. The hospitality is very good. The territory manager of hotel is very helpful and nice person. The hotel is interior from main road and around 10 kms from munnar and there is huge difference in climate of munnar and Hotel. The room size is good but mattresses are not comfortable for obsessed persons. the bathroom is just ok. overall our stay at misty lake is very good. our group has enjoyed the stay. the landscaping of hotel is good and we have enjoyed the hotel garden. The Kerala i ...more
Maya Inn,Noida,India,,2.6/5,"Conference Room,Laundry Service,Spa,Room Service,","Agarsen Plaza, Opposite Bank Of Main Dadri Road, Bhangel, Phase-II, Noida - 2013301 View on Map","room is smelling. too much mosquitoes.
I Don't like to book it again in future.
you can't sit at reception."
Jagat Palace,Pushkar,India,,4.3/5,"Air Conditioning,Swimming Pool,Parking Facility,Outdoor Activities,","Behind Ramdwara, Ajmer Road, Pushkar - 305022 View on Map",jagat palace is a beautiful property with a touch of pushkar heritage. all amenities are on on point.. breakfast is tasty but could have more options.. location is good with lake and brahma temple being around 1-2 kms distance..
Hotel Balaji International,Varanasi,India,,3.7/5,"Free Internet,Parking Facility,Travel Assistance,Laundry Service,","B12, B. 12/112-B-2, Bhelupur Rd, Gauriganj, Near Reliance jewelers Bhelupur, Varanasi - 221010 View on Map",Nice place. Great location. Okay staff. The room was clean. The room given to me was a bit small with no windows.
Hotel LMK Plaza,Jodhpur,India,,4.5/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","Plot No.31, District Shopping Centre, Sarswati Nagar, Pali Road, Jodhpur - 342005 View on Map","It was very comfortable stay..very good services they had provided..i'm fully satisfy with their facilities and services..cleanliness wise on the top and food was also delicious. It was nice and peaceful hotel, located nearby my office."
Hotel Ashoka (Sarvate Bus Stand),Indore,India,,2.8/5,"Laundry Service,CCTV surveillance,Parking Facility,Daily housekeeping,","14/2 Nasia Road,Opposite Sarvate Bus Stand, Indore - 452001 View on Map",location is good. but very poor service. dirty rooms. no hot water.
Walnut Hill Resort,Pahalgam,India,,3.3/5,"Air Conditioning,Parking Facility,Outdoor Activities,Laundry Service,","Hotel Walnut Hills Resort, Main MArket, panchward batkoat near abshar park Pahalgam,192126 View on Map",Hotel location is excellent & staff is c- operative.hotel is one km from main road pls put big lighting boards on main road.
Ashreya Suites,Thiruvannamalai,India,,3.6/5,"Free Internet,Power backup,Daily housekeeping,Room Service,","9,Ganapathy Nagar, Chengam Road (Near Girivala Paadhai), NH 66. Pondy-Bangalore Highway, Tiruvannamalai - 606603 View on Map",good hotel location so far from temple other than nice
CORBETT SOLITAIRE RESORT,Ramnagar,India,,4.3/5,"Doctor On Call,Air Conditioning,Swimming Pool,Indoor Entertainment,","Vpo-Dhela,Ramnagar - 244715 View on Map","very courteous staff, good food and nice location"
Taj Home Hotel,Hyderabad,India,,3.2/5,"Power backup,Parking Facility,Laundry Service,CCTV surveillance,","9, M.G. Road, Opp. Mahatma Gandhi Statue Secunderabad, Hyderabad - 500003 View on Map","Never make a mistake staying in this hotel. Very bad service, unprofessional people"
Hotel Alankar,"Aurangabad, Maharashtra",India,,3.8/5,"Doctor On Call,Air Conditioning,Parking Facility,Room Service,","CTS NO 2587 Alankar Gali VIP Road 431001, Aurangabad View on Map","Rooms are very clean, staff is very good, hotel is centre of the city."
Hotel Vels Court,Palani,India,,4.1/5,"Doctor On Call,Free Internet,Air Conditioning,Indoor Entertainment,","29, Ayyampulli Road, Adivaram., Palani - 624601 View on Map",very nice hotel. staffs are helpful. food is good. good for family stay.
Namra Camp,,,,,,"Tingmosgang, Leh, 194101 - 194106 View on Map",
Hotel Blue Nest,Thiruvananthapuram,India,,3.6/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","Manjalikulam Road,Thampanoor, Trivandrum - 695001 View on Map","Good and neat Room
Staffs are Good
walking distance from Thiruvananthapuram Central Railway Station
Overall Good"
Hotel Punjab Palace,Chandigarh,India,,3.6/5,"Doctor On Call,Air Conditioning,Clean Room,Clean linen,","SCO no 1092-93, Sector 22, Chandigarh - 160022 View on Map",such a good room and with best room facility and good room service.
Hotel Priya Palace,Guwahati,India,,3.8/5,"Air Conditioning,Parking Facility,Conference Room,Laundry Service,","2 Janpath Lane G.S. Road,ulubari. Guwahati, - 781007 View on Map","We booked ""Classic Room AC with Free Wifi"" but they did not provide the room which is visible in the Pictures.
Even I asked for that then they were in denial mode. So be careful and avoid getting caught into their trap.
Pros
Good location in GS road
The railway station is near.
Some of the room service crew are good.
car parking space.
Cons
Room was not as per Beds are not comfortable.
Wifi was just for the namesake.
Room from inside is not attractive and it is not matching with the  ...more"
El-Shaddai Homes,Bengaluru,India,,3.4/5,"Doctor On Call,Power backup,Restaurant/Coffee Shop,Laundry Service,","2594, 2nd cross, 18th main, hal 2nd stage, indiranagar, Bengaluru - 560008 View on Map","nic hotel,nic location"
Hotel Sai R.B.N,Shirdi,India,,2.7/5,"Spa,Parking Facility,Daily housekeeping,","New Pimpalwadi Road,Near Bhaji Market, Shirdi - 423109 View on Map","very bad room ,bed sheet , cleanesss,staff behaviour. do not stay in this hotel"
Hotel Caveri,Coorg,India,,3.6/5,"Air Conditioning,Restaurant/Coffee Shop,Laundry Service,Smoking Rooms Available,","School Road, Near Private Bus Stand, Madikeri, Coorg - 571201 View on Map","Nice stay.Good location, nearby bus stand and near to most sight seeing locations.Only problem was it is near to a movie hall so there was noise till midnight. Rooms were clean, spacious and all amenities were there. A double bed and 1 single bed was provided for 3 people so 1 extra star for that.Service was good and good food available."
Jogalekar Cottage,Alibaug,India,,3.7/5,"Air Conditioning,Room Service,Indoor Entertainment,Power backup,",At post Awas Tal- Alibag Dist-Raigad Vrindavan near ZP Marathi School - 402208 View on Map,"It was a marvelous experience. Earlier I also stayed there for many times so the hospitality was very satisfying for me. Clean & tidy rooms, courteous staff & food was also good. Property is basically located near to Mandava area in Alibaug."
Gagan Resorts,Dharamshala,India,,4.2/5,"Free Internet,Laundry Service,CCTV surveillance,Room Service,","Dharamkot Road, Mcleodganj, Upper Dharmsala-176219 View on Map","No resolution provided, we contacted them twice but no resolution provided.
no gesyer provided by the hotel.
we had to use cold water in -1° temperature...
services was poor we asked for room heater they provided us one but again we had to face trouble with that as the heater was not so.good also the electricity was going down when we turn on the heater.
Really bad experience with the stay at such high price.."
Roots Shoots And Beds,Kalimpong,India,,4.4/5,"Parking Facility,Outdoor Activities,Room Service,Daily housekeeping,","Near Sakya Monastery, Kamal Kutir Complex 11th Mile, Kalimpong - 734316 View on Map","The overall experience was awesome. Located close to the nature managed by good people, good service, good rooms and homely environment. What else you need and that too at a reasonable rate?? ""Siris"" is a cozy haven....! + Food is good which is an add on!!"
Hotel Swagat,Amritsar,India,,3.3/5,"Air Conditioning,Parking Facility,Laundry Service,Power backup,","Opposite Golden Temple, 30,31 Braham Butta Market, Amritsar - 143001 View on Map","Situated in a very convenient location, this hotel is just opposite the Golden Temple, and near to the langar khana gate. The surrounding was very beautiful. But the hotel is a bit congested, the stairs were really high which was difficult for the elderly people. Though they have good staff over there and the room was nice. Services were also good. We stayed there for a night and it was an average stay."
Shivakashi Guest House,Varanasi,India,,4.4/5,"Air Conditioning,Restaurant/Coffee Shop,Laundry Service,Power backup,","d.22/4 , Chausatti ghat, Varanasi - 221001 View on Map",guest house is a clean .hotel staff is very good and co operative. only reach the guest house way is little difficult. overall good
Hotel Mini Swiss,Khajjiar,India,,3.7/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","Khajjiar, Distt. Chamba, Himachal Pradesh - 176314 View on Map","good stay ...only walking distance from khajiyar.........5 minites walk only............,............"
Sun N Wind,Kasol,India,,2.9/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,Conference Room,",Kasol Bhunter Kullu 175105 View on Map,The room & the washroom was untidy. Room heaters provided by the hotel were already broken. The broken heaters were barely warming us. I was feeling more warm outside the room. The wind was blowing inside the room through the gates. I am just glad we survived through this horrible hotel. WORST EXPERIENCE EVER!!!
Hotel Snowflake,Shimla,India,,3.7/5,"Laundry Service,Free Internet,Daily housekeeping,Smoking Rooms Available,","Fairlawns, Mashobra, Near Dhalli Shimla 171012 himachal pradesh View on Map",All things are very good... and staff are very supported.
Hotel Hakoba,Cochin,India,,3.6/5,"Air Conditioning,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","Maneka Junction, Shanmugam Road, Kochi - 680031 View on Map","No got a positive wibe in room,room service is useless, post 11pm no service available at all.
Hotel staff is imature."
Hotel Dream Palace,Mussoorie,India,,3.9/5,"Air Conditioning,Laundry Service,CCTV surveillance,Dining,","SILVERTON ENNEXIE, HOTEL DREAM PALACE, Mussoorie, Dehradun, 248179 View on Map","nice stay with hotel. nice staff, polite, awsome service. Nice location, valley view, on mall road, walkin bus/taxi stand. Overall is value for money"
Hotel Harmony,Porbandar,India,,4.2/5,"Free Internet,Conference Room,Travel Assistance,Laundry Service,","Old Fountain M G Road, Porbandar - 360575 View on Map",hotel location is very good and also atmosphere is good and road touch hotel amd second thing is hotel with restaurant not available now and bathroom kits not available for two person given only one person .
Mount View,Pahalgam,India,,4/532,"Doctor On Call,Indoor Entertainment,Parking Facility,Conference Room,",Main Market Pahalgam Opposite bank Pahalgam. - 192126 View on Map,"Average Hotel with Awesome View
It is an average hotel with basic facilities and an anazing view. Situated in the main market so basic amenities are accessible.Service is good with a responsive staff."
Taj Tristar,Hyderabad,India,,4.2/5,"Doctor On Call,Air Conditioning,Indoor Entertainment,Parking Facility,","1-1-40,Seven Hills,S.D Road opp.manju cinema, s.d.road, secunderabad 500003., Hyderabad View on Map","Hotel being from the Taj group lives upto the minimum expectations from a 3 star hotel. Nice location, clean well maintained, and serves good breakfast and food in the restaurants.
we are a senior citizen couple and didn't find any inconveniences."
Kishore Bagh Palace,Jodhpur,India,,,"Parking Facility,Outdoor Activities,Laundry Service,Dining,","Paharganj Mandore Road, Petrol Pump, Jodhpur - 342001 View on Map",
Hotel Kanak,Jabalpur,India,,3.6/5,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","Madan Mahal Station Road, Narsingh Ward, Jabajpur , Narsingh Ward , Madhya Pradesh, Jabalpur - 482001 View on Map",A very friendly hotel. Admire their hospitality. The staff is very cooperative. Very close to Madan Mahal railway station
HOTEL PLAZA INN,Begusarai,India,,4/530,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","Near G.D College, opp St Paul's School main gate ,main road ,Begusarai - 851101 View on Map",clean room.. Good location . staff cooperative
KSTDC Hotel Mayura Valley View,Coorg,India,,4.2/5,"Free Internet,Air Conditioning,Swimming Pool,Conference Room,","Near Raja seat, Madikeri, Coorg - 571201 View on Map","nice stay. spacious rooms and very good restaurant. staff is polite, food options are limited but good"
Hotel Rennuka ( Near A2B Restaurent),Coimbatore,India,,3.6/5,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","Near Adayar Ananda BHavan ( A2B Restaurant), Bharathiyar Road, Coimbatore - 641044 View on Map","Bad quality. Rooms can't be dirty than what they provide. You can see ith ith image how it is maintained. Toilet is dirty like a public toilet. And expect from that they charge me 50 for cleaning in the time of checkout.
worst place ever"
"Fortune Park Orange Gurgaon, Sidhrawali-Member ITC Hotel Group",Manesar,India,,4.3/5,"Doctor On Call,Free Internet,Air Conditioning,Swimming Pool,","K.M. Stone 67, NH-8, Sidhrawali, Manesar, Gurgaon - 122413 View on Map","Great location, Great value for money and an efficient staff.
The location is a great plus just off the Western Peripheral Highway if you are looking for a pitstop drving northwards into haryana, himachal etc. Its quiet despite being on a very busy highway, with a secure parking on the premises.
The rooms are large, comfortable and a great value for money. Food though limited in menu is good too."
"Country Inn & Suites by Radisson, Candolim Goa",Goa,India,,4.2/5,"Doctor On Call,Free Internet,Air Conditioning,Swimming Pool,","Bamonvaddo, Candolim,Bardez- Goa - 403515 View on Map",Excellent stay at Country Inn and Suites. Situated in the beautiful locality of Candolim is very close to the beach and all the well-known restaurants and markets. The hotel has a heritage feel. Nicely decorated reception area. Rooms are spacious and comfortable. The minibar is well organized. Every small needs has been taken care of. Lavish spread of Indian and Continental breakfast with live Dosa and Omelette Counters. Tapobrata and Snehalata at the reception are well trained professionals. Sa ...more
The White Coral,Port Blair,India,,3.7/5,"Doctor On Call,Free Internet,Swimming Pool,Airport Transfer (on Demand),","Bumbanallah, Sippighat, Port Blair, South Andaman Island 744105, India View on Map",The hotel is one of the finest hotel in Andaman and cheaper comparable to other hotels with a lot of facilities.The service quality and cleanness of the room was very good.Recommended to stay for the holiday
Devasura Inn (12 Kms From Guruvayoor),Guruvayoor,India,,2.7/5,"Doctor On Call,Free Internet,Air Conditioning,Indoor Entertainment,","Kunnathoor, Punnayurkulam post, althara, Thrissur., Guruvayoor - 679561 View on Map","it's a bad hotel like a gost house
no room service, staff was not up to the mark as expected,very unhappy with the reception guy behaved,staff are not at all helpful
if you book this hotel you loos your money"
Galibore Nature Camp by Jungle Lodges,Kanakapura,India,,5/53 ,"Doctor On Call,Parking Facility,Laundry Service,Indoor Entertainment,","Uyamballi Post, Sangam, Kanakapura Taluk,Bangalore District (Rural), Sangam ,Chamrajnagar - 571421 View on Map",No words to say...Such a wonderful trip in my life.
Hotel Lua Nova,Goa,India,,3.6/5,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","Saunta Vaddo, Calangute, Bardez, Goa. - 403516 View on Map",Vehicle parking is not available at the place. Carry drinking water with you. Complementary breakfast will be two slice bread with butter and jam. One cup coffee or tea and juice.
Hotel Madhusudan,Dwarka,India,,4.2/5,"Air Conditioning,Laundry Service,CCTV surveillance,Power backup,",Opp. P.V.M. Girls School Siddhnath Road Dwarka 361355 Gujarat - 361335 View on Map,"We stayed here for a night in October '19. A good and decent hotel for family stay.
The good:
- Good location. Walkable distance to the main Dwarikadish temple.
- Hotel and Room interiors good. Not located in a crowded place and quite peaceful.
- AC is good. Room was comfortable
- Front desk very helpful. Even he gave good input about Dwaraka Darshan tours.
I have written a detailed article/ blog about our Gujarat trip. You can search on Google using the keywords - krishprabhu lets go Gujarat. ...more"
Avees River Gardens,Alleppey,India,,,"Free Internet,Outdoor Activities,Banquet hall,Spa,","Arayassery, Punnakkunnam, Pallikuttumma West, P.O. , Pulincunnoo, Alleppey, Kerela 688504 View on Map",
Fresh Water Resort,Pahalgam,India,,4/514,"Outdoor Activities,Travel Assistance,Laundry Service,CCTV surveillance,","Across Rafting Yanner Bridge, Movera Pahalgam, Anantnag - 192126 View on Map","Stayed with my wife and daughter @ FWR for 3 days in May 2019. Without doubt the best stay we had in Kashmir. It was the most refreshing holiday. The location is amazing as you can hear the river water sound . It has a beautiful garden and we enjoyed having breakfast and evening snacks by its side.
it seems it has been recently renovated and the room was beautiful with view of mountains on one side and the river on another.
Mr. Shabeer, the manager was extremely helpful and he made all the ar ...more"
Sea Winds Hotel Guhagar,Guhagar,India,,4.3/5,"Power backup,Restaurant/Coffee Shop,CCTV surveillance,Outdoor Activities,","Varcha Pat,Guhagar,Taluka Guhagar - 415703 View on Map",experience in the hotel is very good as it nearby beach. Location ia good ample parking place with good supportive staff makes pleasent stay.
Orbit Hotel Tarapith,Tarapith,India,,3.5/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","vill - Kabichanrapur, Dist Birbhum, Tarapith - 731233 View on Map","AWESOME STAY FOR 2 DAYS. GOOD STAFF AND GOOD FOOD ALSO. ALSO THEY COOKED THE MEAT PURCHASED FROM OUTSIDE WAS REALLY TESTY. THE COMPLEMENTARY BREAKFAST WAS ADEQUATE AND HAD A GOOD TEST, TOO."
Fateh Safari Lodge by Fateh Collection,Kumbhalgarh,India,,4.6/5,"Swimming Pool,Indoor Entertainment,Conference Room,Outdoor Activities,","Kumbhalgarh,rajasthan - 313325 View on Map","Perfect Stay: Excellant location, Nice rooms and amenities, Decent food and staff
Family time with all natural surroundings 👍"
Haveli Prince Guest house,Bundi,India,,3/52 ,"Laundry Service,Spa,Room Service,Restaurant/Coffee Shop,","Suraj Ji Ka Bar Bal Chand Parra, Bundi, India - 323001 View on Map",Good service in hotal
Silver Oaks,Palampur,India,,3/516,"Laundry Service,Outdoor Activities,Room Service,Internet,","Bundla Tea Estate, Palampur Overlooking the Saurabh Van Vihar,the Boating Lake and the Neugal Khad - 176061 View on Map","This hotel is located in kind of a remote village of Palampur. Although the view from the hotel is good with the Beas river flowing on the other side of the road, and mountains surrounding the hotel, the property is old, and the rooms are just do-able. The area doesnt have street lights, and the roads were pretty dark in the night when we went out to explore the place.
You have limited options here for food, and the taste is pathetic. No nearby alternates for food. No nearby markets either.
The  ...more"
